Date : 2022-07-04 17:38:58
Directory : /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src
Total : 123 files,  7064 codes, 332 comments, 1566 blanks, all 8962 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/CryptoKey.svg.import              | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/Edit.svg                          | XML          |          1 |          0 |          1 |          2 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/Edit.svg.import                   | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/Environment.svg                   | XML          |          1 |          0 |          1 |          2 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/Environment.svg.import            | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/GuiVisibilityHidden.svg           | XML          |          1 |          0 |          1 |          2 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/GuiVisibilityHidden.svg.import    | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/GuiVisibilityVisible.svg          | XML          |          1 |          0 |          1 |          2 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/GuiVisibilityVisible.svg.import   | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/Remove.svg                        | XML          |          1 |          0 |          1 |          2 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/Remove.svg.import                 | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/StatusSuccess.svg                 | XML          |          1 |          0 |          1 |          2 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/StatusSuccess.svg.import          | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/StatusWarning.svg                 | XML          |          1 |          0 |          1 |          2 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/StatusWarning.svg.import          | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/app-icons/ico.sh                  | Shell Script |          1 |          1 |          1 |          3 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/app-icons/icon16.png.import       | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/app-icons/icon256.png.import      | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/app-icons/icon64.png.import       | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/assets/app-icons/splash.png.import       | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/database.gd                      | GDScript     |         16 |          1 |          7 |         24 |
