"filename", "language", "GDResource", "GDScript", "XML", "Shell Script", "comment", "blank", "total"
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/settings.gd", "GDScript", 0, 41, 0, 0, 3, 14, 58
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/classes/utility.gd", "GDScript", 0, 35, 0, 0, 0, 6, 41
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/default_env.tres", "GDResource", 5, 0, 0, 0, 0, 3, 8
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/keepass/Keepass.tscn", "GDResource", 57, 0, 0, 0, 0, 12, 69
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/keepass/Test.gd", "GDScript", 0, 42, 0, 0, 0, 13, 55
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/keepass/kpdx.gd", "GDScript", 0, 168, 0, 0, 9, 31, 208
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/project.godot", "GDResource", 121, 0, 0, 0, 7, 17, 145
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Alert.gd", "GDScript", 0, 6, 0, 0, 0, 4, 10
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Alert.tscn", "GDResource", 21, 0, 0, 0, 0, 6, 27
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/CSVImport.gd", "GDScript", 0, 159, 0, 0, 8, 24, 191
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/CSVImport.tscn", "GDResource", 106, 0, 0, 0, 0, 21, 127
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Cell.gd", "GDScript", 0, 16, 0, 0, 0, 8, 24
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Cell.tscn", "GDResource", 35, 0, 0, 0, 0, 6, 41
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/DataForm.gd", "GDScript", 0, 266, 0, 0, 4, 66, 336
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/DataForm.tscn", "GDResource", 147, 0, 0, 0, 0, 27, 174
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/DatePicker.gd", "GDScript", 0, 100, 0, 0, 1, 29, 130
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/DatePicker.tscn", "GDResource", 147, 0, 0, 0, 0, 24, 171
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/GroupButton.gd", "GDScript", 0, 5, 0, 0, 0, 4, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/GroupButton.tscn", "GDResource", 13, 0, 0, 0, 0, 5, 18
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Heading.gd", "GDScript", 0, 27, 0, 0, 0, 12, 39
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/Heading.tscn", "GDResource", 41, 0, 0, 0, 0, 8, 49
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/IDCheckBox.gd", "GDScript", 0, 2, 0, 0, 0, 2, 4
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/IDCheckBox.tscn", "GDResource", 6, 0, 0, 0, 0, 3, 9
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ItemDetails.gd", "GDScript", 0, 162, 0, 0, 6, 65, 233
"/home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/scenes/ItemDetails.tscn", "GDResource", 326, 0, 0, 0, 0, 57, 383
